motif,observed,background,percent.observed,percent.background,fold.enrichment,pvalue,motif.name
MA1507.1,5,2642,6.8493150684931505,5.284,1.296236765422625,0.34246883697285024,HOXD4
MA0882.1,5,2644,6.8493150684931505,5.288,1.2952562534971919,0.34305321243259507,DLX6
MA1994.1,8,4583,10.95890410958904,9.166,1.1956037649562556,0.3529628848403995,Nkx2-1
MA0719.1,9,5238,12.32876712328767,10.476,1.1768582591912629,0.3554016086886921,RHOXF1
MA0754.2,2,858,2.73972602739726,1.7160000000000002,1.5965769390426923,0.3571645280615522,CUX1
MA1932.1,3,1456,4.10958904109589,2.912,1.4112599729038084,0.3578251997993601,ELK1::HOXB13
MA0758.1,4,2072,5.47945205479452,4.144,1.3222615962341988,0.358480270685141,E2F7
MA0766.2,5,2698,6.8493150684931505,5.396,1.2693319252211177,0.35886084365137744,GATA5
MA1964.1,10,5912,13.698630136986301,11.824,1.1585444973770553,0.360808882822578,SMAD2
MA0914.1,5,2709,6.8493150684931505,5.418,1.264177753505565,0.3620865171527941,ISL2
MA0886.1,4,2089,5.47945205479452,4.178,1.311501209859866,0.3641643298681365,EMX2
MA0647.1,3,1474,4.10958904109589,2.948,1.3940261333432462,0.36502265599702,GRHL1
MA1979.1,12,7258,16.43835616438356,14.516000000000002,1.132430157370044,0.36850467783133195,ZNF416
MA1419.1,4,2117,5.47945205479452,4.234,1.2941549491720643,0.3735249018089323,IRF4
MA0631.1,3,1501,4.10958904109589,3.0020000000000002,1.3689503801118885,0.3757973443475856,Six3
MA0799.2,3,1512,4.10958904109589,3.024,1.358991085018482,0.380178192346727,RFX4
MA0025.2,5,2772,6.8493150684931505,5.5440000000000005,1.235446440925893,0.3805805496091581,NFIL3
MA1625.1,9,5357,12.32876712328767,10.714,1.1507156172566428,0.3808786179282922,Stat5b
MA0140.2,6,3430,8.21917808219178,6.859999999999999,1.1981309157713966,0.38537565165558263,GATA1::TAL1
MA0017.2,11,6699,15.068493150684931,13.398,1.124682277256675,0.38722810823247994,NR2F1
MA0895.1,3,1530,4.10958904109589,3.06,1.3430029546064999,0.38733406308886453,HMBOX1
MA0817.1,3,1531,4.10958904109589,3.0620000000000003,1.3421257482351043,0.38773111261069115,BHLHE23
MA0699.1,5,2800,6.8493150684931505,5.6000000000000005,1.223091976516634,0.38880375308223647,LBX2
MA1131.1,4,2166,5.47945205479452,4.332,1.2648781289922715,0.3898877799892776,FOSL2::JUN
MA1937.1,4,2175,5.47945205479452,4.35,1.259644150527476,0.39288898316338594,ERF::HOXB13
MA0119.1,10,6082,13.698630136986301,12.164,1.1261616357272526,0.39547536256797683,NFIC::TLX1
MA0124.2,5,2823,6.8493150684931505,5.646,1.2131270046923752,0.39555659832634993,Nkx3-1
MA0752.1,4,2186,5.47945205479452,4.372,1.2533055935028639,0.39655477436662856,ZNF410
MA0141.3,7,4123,9.58904109589041,8.246,1.1628718282670882,0.39687392095258645,ESRRB
MA0027.2,6,3477,8.21917808219178,6.954000000000001,1.1819353008616307,0.3978638345027422,EN1
MA0802.1,5,2832,6.8493150684931505,5.664000000000001,1.209271728194412,0.39819808678481294,TBR1
MA0125.1,3,1581,4.10958904109589,3.1620000000000004,1.2996802786514514,0.40750669330338496,Nobox
MA1545.1,1,357,1.36986301369863,0.714,1.9185756494378574,0.40753768095741094,OVOL2
MA0643.1,7,4174,9.58904109589041,8.347999999999999,1.1486632841267863,0.4093721253877821,Esrrg
MA0781.1,3,1589,4.10958904109589,3.1780000000000004,1.2931368914713308,0.4106552982728058,PAX9
MA1707.1,4,2242,5.47945205479452,4.484,1.2220009042806692,0.4151666930542126,DMRTA1
MA0727.1,3,1606,4.10958904109589,3.212,1.2794486429314724,0.4173302141795816,NR3C2
MA0793.1,6,3557,8.21917808219178,7.114,1.1553525558324123,0.41911096372942946,POU6F2
MA0703.2,6,3557,8.21917808219178,7.114,1.1553525558324123,0.41911096372942946,LMX1B
MA0798.3,4,2258,5.47945205479452,4.516,1.2133419076161471,0.42046558342205287,RFX3
MA0844.1,2,988,2.73972602739726,1.976,1.386501026010759,0.4243517926123843,XBP1
MA0827.1,3,1624,4.10958904109589,3.248,1.2652675619137592,0.4243728771048274,OLIG3
MA1722.1,5,2922,6.8493150684931505,5.844,1.1720251657243583,0.42455635287789384,ZSCAN31
MA0874.1,4,2274,5.47945205479452,4.548,1.204804761388417,0.4257545797646496,Arx
MA0164.1,6,3588,8.21917808219178,7.176,1.1453704127914965,0.4273305567437521,Nr2e3
MA0693.3,6,3591,8.21917808219178,7.1819999999999995,1.1444135452787219,0.4281253767705758,Vdr
MA0161.2,9,5582,12.32876712328767,11.164,1.1043324187824857,0.4294585659481064,NFIC
MA0862.1,1,383,1.36986301369863,0.766,1.7883329160556527,0.42978327487006573,GMEB2
MA1646.1,12,7599,16.43835616438356,15.198,1.0816131178038926,0.43271350371588857,OSR2
MA0618.1,4,2297,5.47945205479452,4.594,1.1927409784054244,0.4333385493900658,LBX1
MA0523.1,8,4936,10.95890410958904,9.872,1.1100996869518882,0.43355223555756606,TCF7L2
MA0639.1,2,1014,2.73972602739726,2.028,1.3509497176515088,0.43737759593005077,DBP
MA1608.1,4,2311,5.47945205479452,4.622,1.1855153731706016,0.43794304111744653,Isl1
MA0629.1,4,2338,5.47945205479452,4.676,1.1718246481596493,0.4467956032796073,Rhox11
MA1496.1,4,2342,5.47945205479452,4.684,1.16982323970848,0.44810383846781543,HOXA4
MA0847.3,9,5669,12.32876712328767,11.338,1.087384646612072,0.4482601718497481,FOXD2
MA0690.2,5,3004,6.8493150684931505,6.008,1.140032468124692,0.4484192291786919,TBX21
MA1566.2,6,3669,8.21917808219178,7.338,1.120084230334121,0.44873908726155964,TBX3
MA1539.1,4,2348,5.47945205479452,4.696,1.1668339128608434,0.4500645487943945,NR2F6
MA0090.3,8,5014,10.95890410958904,10.027999999999999,1.0928304855992264,0.45138270535418945,TEAD1
MA1124.1,8,5033,10.95890410958904,10.066,1.0887049582345558,0.45571703593416113,ZNF24
MA0156.3,3,1708,4.10958904109589,3.4160000000000004,1.2030412883770167,0.4568515034630718,FEV
MA0043.3,4,2373,5.47945205479452,4.746,1.1545410987767635,0.45821215608952315,HLF
MA1118.1,5,3041,6.8493150684931505,6.082,1.1261616357272526,0.45911745364092005,SIX1
MA0630.1,4,2384,5.47945205479452,4.768,1.149213937666636,0.4617853671100347,SHOX
MA0654.1,4,2384,5.47945205479452,4.768,1.149213937666636,0.4617853671100347,ISX
MA0716.1,4,2384,5.47945205479452,4.768,1.149213937666636,0.4617853671100347,PRRX1
MA0717.1,4,2384,5.47945205479452,4.768,1.149213937666636,0.4617853671100347,RAX2
MA0720.1,4,2384,5.47945205479452,4.768,1.149213937666636,0.4617853671100347,Shox2
MA0669.1,4,2388,5.47945205479452,4.776,1.1472889561965076,0.46308286948284594,NEUROG2
MA0143.4,5,3075,6.8493150684931505,6.15,1.1137097672346585,0.4689021553062952,SOX2
MA1112.2,8,5102,10.95890410958904,10.204,1.0739811945892825,0.47141609795164663,NR4A1
MA1127.1,3,1765,4.10958904109589,3.53,1.164189530055493,0.47847169939562884,FOSB::JUN
MA0806.1,6,3786,8.21917808219178,7.571999999999999,1.0854698999196752,0.4793940725722159,TBX4
MA0610.1,3,1774,4.10958904109589,3.5479999999999996,1.1582832697564516,0.48185090312853396,DMRT3
MA0839.1,3,1781,4.10958904109589,3.562,1.153730780768077,0.4844723671555463,CREB3L1
MA1960.1,5,3135,6.8493150684931505,6.2700000000000005,1.0923947477660527,0.4860460963454394,MGA::EVX1
MA1996.1,8,5179,10.95890410958904,10.358,1.0580135267029387,0.4888376945234736,Nr1H2
MA1603.1,4,2471,5.47945205479452,4.942,1.1087519333861837,0.48976432526684344,Dmrt1
